date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2020/07/13,29,NO,50,3,14.7,77.1,15,59.911491,10.757933,70,1,80,2,100,100,0,300,0,0,100,300
2020/07/13,29,FI,28,0,14.7,79.4,18,60.192059,24.945831,20,0,79,0,100,100,200,100,0,0,0,300
2020/07/20,30,SE,1437,45,17.3,61.8,25,59.334591,18.063240,1735,57,2444,90,200,100,200,300,100,100,0,300
2020/07/20,30,DK,243,2,17,69,137,55.676098,12.568337,256,2,160,3,200,200,100,300,100,100,0,300
2020/07/20,30,NO,70,0,15.7,67.3,15,59.911491,10.757933,50,3,70,1,100,100,0,300,0,0,100,300
2020/07/20,30,FI,70,1,16.8,70.7,18,60.192059,24.945831,28,0,20,0,100,100,100,100,0,0,0,300
2020/07/27,31,SE,1395,16,17.6,76.1,25,59.334591,18.063240,1437,45,1735,57,200,100,200,300,100,100,0,300
2020/07/27,31,DK,428,2,17.1,75.6,137,55.676098,12.568337,243,2,256,2,200,200,100,300,100,100,0,300
2020/07/27,31,NO,123,0,15.7,79.5,15,59.911491,10.757933,70,0,50,3,100,100,0,300,0,0,100,300
2020/07/27,31,FI,55,0,16.8,74,18,60.192059,24.945831,70,1,28,0,100,100,100,100,0,0,0,300
2020/08/03,32,SE,2022,18,19.3,66.4,25,59.334591,18.063240,1395,16,1437,45,200,100,200,300,100,100,0,300
2020/08/03,32,DK,254,2,19.5,67.4,137,55.676098,12.568337,428,2,243,2,100,200,100,200,100,100,0,300
2020/08/03,32,NO,260,1,16.2,78.2,15,59.911491,10.757933,123,0,70,0,100,100,0,300,0,0,100,300
2020/08/03,32,FI,125,2,17.4,81.6,18,60.192059,24.945831,55,0,70,1,100,100,100,100,0,0,0,300
2020/08/10,33,SE,2096,20,19.6,66.5,25,59.334591,18.063240,2022,18,1395,16,200,100,200,300,100,100,0,300
2020/08/10,33,DK,929,4,21.3,68.1,137,55.676098,12.568337,254,2,428,2,100,200,100,200,100,100,0,300
2020/08/10,33,NO,382,5,18.6,73.5,15,59.911491,10.757933,260,1,123,0,100,100,0,300,0,0,100,300
2020/08/10,33,FI,152,2,16.4,75.1,18,60.192059,24.945831,125,2,55,0,100,100,100,100,0,0,0,300
2020/08/17,34,SE,1759,16,21.2,72.1,25,59.334591,18.063240,2096,20,2022,18,100,100,200,300,100,100,0,300
2020/08/17,34,DK,636,0,21.7,73.5,137,55.676098,12.568337,929,4,254,2,100,200,100,200,100,100,0,300
2020/08/17,34,NO,347,3,18.4,77.8,15,59.911491,10.757933,382,5,260,1,100,100,0,300,0,0,100,300
2020/08/17,34,FI,186,1,17.6,74.1,18,60.192059,24.945831,152,2,125,2,100,100,100,0,0,0,0,300
2020/08/24,35,SE,1238,10,15.3,68.4,25,59.334591,18.063240,1759,16,2096,20,100,100,200,300,100,100,0,300
2020/08/24,35,DK,563,3,16.8,75.9,137,55.676098,12.568337,636,0,929,4,100,200,100,200,100,100,0,300
2020/08/24,35,NO,346,0,12.2,70.8,15,59.911491,10.757933,347,3,382,5,100,100,0,300,0,0,100,200
2020/08/24,35,FI,143,1,14.2,78.9,18,60.192059,24.945831,186,1,152,2,100,100,100,0,0,0,0,300
2020/08/31,36,SE,1273,13,14.6,82.6,25,59.334591,18.063240,1238,10,1759,16,100,100,200,300,100,100,0,300
2020/08/31,36,DK,1164,3,16,73.2,137,55.676098,12.568337,563,3,636,0,100,200,100,200,100,100,0,300
2020/08/31,36,NO,577,0,11.9,70.2,15,59.911491,10.757933,346,0,347,3,100,100,0,300,0,0,100,200
2020/08/31,36,FI,212,1,13.9,88.5,18,60.192059,24.945831,143,1,186,1,100,100,100,0,0,0,0,300
2020/09/07,37,SE,1518,13,13.1,78,25,59.334591,18.063240,1273,13,1238,10,100,100,200,300,100,100,0,300
2020/09/07,37,DK,2149,2,15.1,75.5,137,55.676098,12.568337,1164,3,563,3,100,200,100,300,100,100,0,300
2020/09/07,37,NO,746,1,11.2,70.7,15,59.911491,10.757933,577,0,346,0,100,100,0,300,0,0,100,200
2020/09/07,37,FI,296,1,12.3,84.4,18,60.192059,24.945831,212,1,143,1,100,100,100,0,0,0,0,300
2020/09/14,38,SE,1980,10,12.8,79.4,25,59.334591,18.063240,1518,13,1273,13,100,100,200,300,100,100,0,300
2020/09/14,38,DK,3065,6,15,76.2,137,55.676098,12.568337,2149,2,1164,3,100,200,100,300,100,100,0,300
2020/09/14,38,NO,779,2,12.2,71.3,15,59.911491,10.757933,746,1,577,0,100,100,0,300,0,0,100,200
2020/09/14,38,FI,365,2,11.2,80.3,18,60.192059,24.945831,296,1,212,1,100,100,100,0,0,0,0,300
2020/09/21,39,SE,2259,13,13.2,85.4,25,59.334591,18.063240,1980,10,1518,13,100,100,200,300,100,100,0,300
2020/09/21,39,DK,3655,13,14.9,85.8,137,55.676098,12.568337,3065,6,2149,2,100,200,100,300,100,100,0,300
2020/09/21,39,NO,761,3,11.3,25.3,15,59.911491,10.757933,779,2,746,1,100,100,0,300,0,0,0,200
2020/09/21,39,FI,655,4,13.4,85.6,18,60.192059,24.945831,365,2,296,1,100,100,100,0,0,0,0,300
2020/09/28,40,SE,3517,14,13.6,90.7,25,59.334591,18.063240,2259,13,1980,10,100,100,200,300,100,100,0,300
2020/09/28,40,DK,2853,6,15.6,82.5,137,55.676098,12.568337,3655,13,3065,6,100,200,100,300,100,100,0,300
2020/09/28,40,NO,743,5,11.2,87.9,15,59.911491,10.757933,761,3,779,2,100,100,0,300,0,0,0,200
2020/09/28,40,FI,667,2,12.9,84.9,18,60.192059,24.945831,655,4,365,2,100,100,100,0,0,0,0,300
2020/10/05,41,SE,4225,21,12.7,90.3,25,59.334591,18.063240,3517,14,2259,13,100,100,200,300,100,100,0,300
2020/10/05,41,DK,2719,13,13.1,25.9,137,55.676098,12.568337,2853,6,3655,13,100,200,100,300,100,100,0,300
2020/10/05,41,NO,1072,0,10.1,88.7,15,59.911491,10.757933,743,5,761,3,100,100,0,300,0,0,0,200
2020/10/05,41,FI,1605,1,12.6,88.8,18,60.192059,24.945831,667,2,655,4,100,100,100,0,0,0,0,300
2020/10/12,42,SE,5272,18,7.3,88.7,25,59.334591,18.063240,4225,21,3517,14,100,100,200,300,100,100,0,300
2020/10/12,42,DK,2940,12,8.9,77.3,137,55.676098,12.568337,2719,13,2853,6,100,200,100,200,0,100,0,300
2020/10/12,42,NO,915,3,5.5,77.2,15,59.911491,10.757933,1072,0,743,5,100,100,0,300,0,0,0,200
2020/10/12,42,FI,1444,1,6.2,87.5,18,60.192059,24.945831,1605,1,667,2,100,100,100,300,0,0,0,300
2020/10/19,43,SE,8182,32,5.8,85.3,25,59.334591,18.063240,5272,18,4225,21,100,100,200,300,100,100,0,300
2020/10/19,43,DK,5304,21,10.7,81.9,137,55.676098,12.568337,2940,12,2719,13,0,100,100,300,0,0,0,300
2020/10/19,43,NO,1096,1,3.6,81.5,15,59.911491,10.757933,915,3,1072,0,100,100,0,300,0,0,0,200
2020/10/19,43,FI,1359,2,4.4,89.9,18,60.192059,24.945831,1444,1,1605,1,100,100,100,300,0,0,0,300
2020/10/26,44,SE,16181,63,8.3,95.4,25,59.334591,18.063240,8182,32,5272,18,100,100,200,300,100,100,0,300
2020/10/26,44,DK,7388,21,11,90.5,137,55.676098,12.568337,5304,21,2940,12,0,100,100,400,0,0,0,300
2020/10/26,44,NO,2331,3,5.6,94.7,15,59.911491,10.757933,1096,1,915,3,100,100,200,300,0,0,0,200
2020/10/26,44,FI,1461,5,6.6,94.5,18,60.192059,24.945831,1359,2,1444,1,100,100,100,300,0,0,0,300
